epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.401,1.15777,2.22135,0.02112,0.75655,0.8328,0.85158,0.65314,0.83433,0.56176,0.01986,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,799.012,1.17129,1.22723,0.02147,0.84011,0.83004,0.89274,0.67052,0.89899,0.58319,0.02198,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,1093.9,1.24239,1.19934,0.02268,0.8329,0.91676,0.90939,0.60309,1.13578,0.53563,0.02911,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1374.6,1.26055,1.12271,0.023,0.88677,0.89451,0.92013,0.72657,0.80183,0.39639,0.0192,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1655.36,1.1978,1.02619,0.02162,0.85359,0.8832,0.89057,0.70468,0.78473,0.39339,0.01854,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1935.54,1.15875,0.93948,0.02068,0.9112,0.92305,0.93238,0.75009,0.74365,0.3172,0.01766,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2216.27,1.11376,0.90964,0.01986,0.88607,0.89989,0.91093,0.7411,0.73129,0.33342,0.01759,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2496.66,1.09436,0.8549,0.01934,0.93416,0.91378,0.93786,0.7665,0.6922,0.31736,0.01598,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2777.23,1.07688,0.83252,0.01909,0.91846,0.92426,0.94533,0.77377,0.67684,0.30294,0.01548,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3058.39,1.05833,0.81587,0.0186,0.93361,0.93066,0.94587,0.78128,0.66253,0.28672,0.01499,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
