epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,396.079,1.17521,2.22256,0.02134,0.79011,0.75905,0.84024,0.6327,0.88621,0.68611,0.02126,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,687.37,1.19475,1.3353,0.02189,0.84217,0.83731,0.89692,0.65716,0.8996,0.56935,0.0219,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,946.404,1.25797,1.25779,0.02307,0.86351,0.85511,0.90501,0.68224,0.88053,0.50654,0.02129,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1193.81,1.27243,1.17722,0.02324,0.82159,0.86091,0.88919,0.67859,0.86097,0.51507,0.02069,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1441.2,1.22281,1.09679,0.0222,0.80545,0.86581,0.87707,0.6855,0.80557,0.49508,0.01922,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1688.87,1.1824,1.03521,0.02123,0.85843,0.88937,0.91819,0.72392,0.77374,0.44208,0.01823,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1936.67,1.15496,0.98352,0.02073,0.89299,0.87889,0.91445,0.73902,0.74893,0.40147,0.01778,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2185.04,1.12908,0.95157,0.02008,0.86943,0.8953,0.91376,0.7399,0.72971,0.38037,0.01694,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2433.32,1.11854,0.92849,0.01993,0.90094,0.89038,0.92641,0.75532,0.7089,0.3642,0.01652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2681.85,1.10754,0.90026,0.01962,0.8796,0.90288,0.91774,0.76059,0.6859,0.35631,0.01581,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
