epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,314.269,1.22324,2.31684,0.02219,0.7791,0.80144,0.86133,0.6588,0.81156,0.65165,0.01909,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,548.817,1.22793,1.42152,0.02255,0.83056,0.82344,0.88196,0.6642,0.91561,0.58726,0.02225,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,761.514,1.29852,1.36787,0.02383,0.82332,0.83913,0.88598,0.66258,0.9086,0.6002,0.02227,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,965.992,1.30259,1.28468,0.02386,0.83055,0.85886,0.89408,0.68389,0.89838,0.52424,0.02205,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1170.92,1.2518,1.20693,0.02271,0.82937,0.88192,0.89811,0.70244,0.81131,0.47732,0.0197,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1375.67,1.20391,1.15269,0.02163,0.86092,0.90109,0.91614,0.71216,0.80076,0.42665,0.01915,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1580.56,1.18089,1.10296,0.02115,0.88249,0.88143,0.91521,0.72392,0.7608,0.41387,0.01799,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1785.6,1.1604,1.07429,0.02064,0.86715,0.88305,0.91857,0.73404,0.74763,0.42959,0.01749,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1990.36,1.14568,1.0561,0.02046,0.86822,0.88598,0.91906,0.73842,0.7301,0.4276,0.01741,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2195.42,1.14028,1.03543,0.02022,0.87238,0.89595,0.91294,0.74552,0.71158,0.4134,0.01649,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2399.78,1.11741,0.99225,0.01975,0.87057,0.88535,0.9114,0.74438,0.69583,0.39431,0.01612,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2604.07,1.10494,0.98017,0.01952,0.89328,0.89262,0.92251,0.75526,0.69848,0.37212,0.01607,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
