fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.31784,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.27405,0.00596,0.01,0.93902,0.001,3.00785,0.95,8.59608,0.49745,2.18279,0.02836,0.70302,0.38302,0.00593,0.06889,0.34423,0.0,0.0,0.00725,0.50704,0.0,0.90276,0.00312,0.00035,0.0,10
0.08014,1e-05,0.01287,0.93722,0.0,2.9992,0.79892,7.50723,0.52813,1.49853,0.01228,0.7655,0.39026,0.00797,0.08506,0.51325,0.0,0.0,0.00248,0.91019,0.0,1.0,0.0,0.00454,0.00151,10
0.28506,0.01,0.01087,0.84696,0.0,3.00611,0.95,8.60581,0.63545,1.59784,0.01829,0.71167,0.38528,0.00971,0.06829,0.27686,0.01294,0.0,0.0,0.57107,0.01548,1.0,0.00194,0.0,0.0,10
0.31979,0.01,0.01,0.89852,0.00024,3.00103,0.80554,8.90829,0.51506,1.50874,0.01864,0.60876,0.40213,0.00491,0.10435,0.47645,0.0068,0.0,0.0,0.52328,0.00046,0.91416,0.00216,0.0,0.01148,10
0.28954,0.01,0.0172,0.84591,9e-05,2.99039,0.86661,8.56633,0.56294,1.49335,0.01491,0.8793,0.38402,0.00852,0.08365,0.45958,0.0165,0.0,0.00349,0.52023,0.01006,0.97123,0.00056,0.0,0.00747,10
0.28295,0.00929,0.02109,0.89854,0.0,2.96515,0.87187,14.05879,0.48444,1.59076,0.0196,0.72587,0.39007,0.00706,0.08275,0.56231,0.01061,0.001,0.00093,0.57957,0.00221,0.69846,0.00094,0.0,0.01033,9
0.29798,0.00788,0.01699,0.91675,0.00033,2.98939,0.91806,11.7819,0.47719,1.73923,0.01538,0.74969,0.42684,0.0,0.06862,0.357,0.01003,0.00031,0.00691,0.48411,0.00165,0.94715,0.00103,0.00013,0.00679,10
0.29922,0.00845,0.02317,0.96032,6e-05,3.34551,0.94416,7.99731,0.42696,1.83244,0.01607,0.84106,0.49675,0.00895,0.07952,0.4452,0.0,0.00015,0.00397,0.54823,0.01637,1.0,0.00402,0.00012,0.00276,9
0.29566,0.00944,0.01431,0.95605,0.00052,3.22889,0.95,13.52844,0.66543,1.4369,0.02017,0.9,0.39592,0.00329,0.08718,0.32382,0.0094,0.00053,0.00265,0.37749,0.00084,0.8829,0.00286,0.0,0.00955,10
0.29822,0.0092,0.01188,0.90007,0.00042,3.00116,0.89121,10.65337,0.63187,2.55098,0.01884,0.65886,0.39085,0.0,0.08527,0.47644,0.00686,0.00031,0.00729,0.51828,0.0,1.0,0.00237,0.0,0.00975,8
0.30378,0.0098,0.0159,0.9484,0.0,4.74306,0.76876,10.59467,0.66793,2.26823,0.0172,0.61917,0.44065,0.0001,0.07653,0.45419,0.01811,0.0,0.00131,0.46805,0.01848,0.9487,0.0,2e-05,0.0,10
0.29441,0.00777,0.01149,0.9457,0.00081,3.01,0.95,8.03736,0.40009,2.17651,0.02586,0.66714,0.59985,0.00246,0.10375,0.38495,0.00143,0.00042,0.00158,0.3843,8e-05,0.90164,0.0,4e-05,0.01276,10
0.31119,0.00998,0.01302,0.92094,0.00031,2.66264,0.85082,7.27819,0.49696,1.55121,0.02172,0.9,0.50724,0.00063,0.09684,0.44506,0.00803,0.00038,0.00111,0.35801,0.0,0.99702,0.00041,2e-05,0.0,10
0.31996,0.00957,0.02117,0.94763,0.00047,3.30607,0.83567,7.75497,0.56877,1.87228,0.02031,0.60566,0.50584,0.00681,0.09838,0.37732,0.0,0.00058,0.0,0.48583,0.01865,1.0,0.0,0.0,0.01336,9
0.29442,0.00776,0.01,0.90786,0.0003,3.47762,0.77539,10.82063,0.51695,1.6116,0.01433,0.57707,0.43949,0.0,0.09699,0.44991,0.01908,7e-05,0.00805,0.64387,0.02019,0.91055,0.00158,3e-05,0.01715,8
0.31125,0.0095,0.01283,0.89843,0.0004,3.16718,0.83722,6.68373,0.64344,1.72335,0.01807,0.82145,0.44488,0.00562,0.09584,0.52397,0.0,0.00036,0.00068,0.33216,0.02338,0.97482,0.00176,1e-05,0.00949,8
0.28599,0.01,0.0128,0.90948,0.00052,4.8911,0.95,9.21671,0.49362,1.41787,0.0161,0.86829,0.39872,0.00145,0.07338,0.46427,0.00662,0.00046,0.00104,0.54056,0.01867,0.98746,0.00034,1e-05,0.00764,9
0.30582,0.00979,0.01351,0.96661,0.00043,3.15713,0.82512,6.74029,0.61853,1.60964,0.01361,0.66775,0.52237,0.00725,0.11327,0.43328,0.00455,0.00063,0.00013,0.41732,0.0123,1.0,0.00147,1e-05,0.01144,10
0.316,0.01,0.01254,0.95681,0.00042,3.9746,0.71163,9.06766,0.49902,2.35625,0.01803,0.9,0.49836,0.00434,0.09679,0.47242,0.00468,8e-05,0.00054,0.37602,0.0099,1.0,0.00117,0.0,0.01111,9
0.32533,0.00959,0.02324,0.89986,0.00022,3.9597,0.65264,6.64529,0.65322,1.39104,0.01943,0.61231,0.39992,0.00148,0.10211,0.46282,0.00609,0.0,0.00093,0.49408,0.02236,0.98372,0.00084,1e-05,0.00937,9
0.29802,0.01,0.01788,0.93401,0.00055,4.58126,0.95,7.83807,0.70419,1.18146,0.01368,0.85635,0.37977,0.00478,0.09463,0.37997,0.00151,0.00046,2e-05,0.4685,0.0,0.98026,0.00093,0.0,0.00867,9
0.34351,0.00847,0.02816,0.98,0.00033,2.94555,0.93389,7.64415,0.67119,2.71274,0.01523,0.58217,0.44897,0.00393,0.10257,0.45778,0.003,0.0,0.00126,0.49204,0.01316,0.78248,0.00059,1e-05,0.01145,9
0.29906,0.01,0.01,0.98,0.0002,4.12638,0.76856,6.83391,0.43681,2.42858,0.0154,0.86268,0.52476,0.0051,0.10095,0.42112,0.00154,0.00051,0.00075,0.40664,0.02694,0.72855,0.00015,1e-05,0.0098,10
0.31531,0.00969,0.02742,0.91101,0.00019,3.92826,0.65611,7.83298,0.53651,1.4412,0.01755,0.64558,0.44927,0.00115,0.09969,0.49632,0.00482,0.001,0.00073,0.41795,0.00823,0.74561,5e-05,1e-05,0.00732,9
0.30562,0.01,0.01751,0.89942,0.00039,3.39188,0.85983,7.85014,0.48192,2.77747,0.01502,0.62279,0.43441,0.00628,0.09967,0.49069,0.00573,0.00078,0.00078,0.47241,0.0144,0.82493,0.0005,0.0,0.01572,9
0.31512,0.00828,0.01,0.98,0.00034,3.99675,0.95,7.94637,0.62734,2.51466,0.01795,0.61322,0.33928,0.0016,0.09535,0.51921,0.00638,5e-05,0.00118,0.35741,0.01034,0.92804,0.00079,1e-05,0.00432,10
0.24931,0.01,0.03145,0.94724,0.00017,3.85252,0.69233,7.53507,0.63068,2.27478,0.01968,0.9,0.50779,0.0,0.07587,0.51236,0.00346,0.00064,0.00118,0.45771,0.0231,0.6992,0.00126,1e-05,0.00498,10
0.24454,0.00838,0.03761,0.98,0.00014,5.0,0.82045,7.84382,0.63003,2.00773,0.01586,0.71773,0.33544,0.0,0.0986,0.74956,0.00105,2e-05,0.0,0.55279,0.00711,0.86384,0.00047,1e-05,0.0,10
0.33489,0.00945,0.01984,0.94168,0.00038,3.07864,0.75481,5.50064,0.74927,1.5317,0.01724,0.61842,0.46002,0.00092,0.09032,0.40626,0.00645,0.0003,9e-05,0.51072,0.00741,1.0,0.00169,0.0,0.01108,10
