fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.0,0.01,0.01,0.93978,0.001,2.98933,0.6487,7.50088,0.46978,1.4955,0.01265,0.68411,0.36532,0.00469,0.16901,0.47474,0.00938,0.0,0.00262,0.49606,0.00804,1.0,0.01124,0.0,0.0,10
0.0,0.00812,0.01213,0.93383,0.0,3.00382,0.79373,7.50239,0.4998,1.71365,0.01468,0.66873,0.38686,0.0,0.09409,0.43468,0.00884,0.0,0.00383,0.47433,0.01619,1.0,0.0,0.00351,0.00339,10
0.0,0.01,0.02388,0.98,0.0,2.61484,0.95,9.33478,0.51935,1.71545,0.01895,0.68413,0.38513,0.00544,0.0955,0.36396,0.01539,0.001,0.00115,0.39475,0.01172,0.89369,0.01789,0.01579,0.0,8
0.0,0.00776,0.01507,0.93746,0.00039,2.84218,0.8168,8.05964,0.49739,2.04399,0.01579,0.69499,0.36931,0.00181,0.1339,0.47868,0.00949,0.0,0.00078,0.49578,0.00222,0.98724,0.00552,0.00646,0.0036,9
0.0,0.00898,0.02299,0.97816,0.00026,2.54428,0.95,7.82074,0.53966,1.82622,0.01614,0.78423,0.45619,0.0,0.08938,0.61523,0.01591,1e-05,0.00107,0.35387,0.0,1.0,0.00494,0.00219,0.00491,10
0.0,0.00755,0.01,0.82545,0.001,2.59003,0.86836,7.71186,0.38024,1.64961,0.02332,0.691,0.40139,0.00416,0.12539,0.42613,0.00823,0.00097,0.00011,0.48285,0.00982,1.0,0.00441,0.01389,0.0,10
0.0,0.00534,0.02519,0.93956,0.001,1.90177,0.95,7.78042,0.45336,1.12769,0.01289,0.67992,0.34629,0.00207,0.10695,0.49379,0.00154,4e-05,0.004,0.4488,0.0,1.0,0.00091,0.00197,0.0,7
0.0,0.00758,0.01746,0.94979,0.00075,2.14269,0.95,8.32181,0.35405,1.13919,0.0109,0.66469,0.41253,0.00192,0.12867,0.49606,0.0131,0.0009,0.00298,0.47373,0.0079,0.95284,0.01914,0.00841,0.0,8
0.0,0.00871,0.02602,0.88872,0.00044,2.69326,0.91246,7.72501,0.4977,1.45185,0.01579,0.65232,0.28996,0.00126,0.15232,0.4742,0.00213,0.0,0.00091,0.49177,0.0054,0.99766,0.00408,0.00599,0.00204,6
0.0,0.00988,0.02535,0.90082,0.00061,4.62984,0.95,8.81437,0.56625,1.41632,0.01628,0.54413,0.36659,0.00398,0.07973,0.56,0.0164,0.00052,0.00068,0.46192,0.01104,0.91846,0.01281,0.00341,0.0,9
0.0,0.01,0.01517,0.93517,0.00089,3.09609,0.81041,9.2064,0.48125,2.61638,0.00894,0.74098,0.39936,0.00548,0.14814,0.41581,0.01088,0.001,0.0,0.39525,0.0,0.98985,0.00853,0.0045,0.0,8
