epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2877,1.19478,5.48533,0.01654,0.76634,0.15756,0.0997,0.07941,1.08959,2.60288,0.01908,0.00222283,0.00222283,0.0735781
2,110.723,1.10562,3.14366,0.01493,0.74081,0.23756,0.24373,0.19885,1.20145,2.00403,0.0217,0.00415969,0.00415969,0.0467675
3,151.994,1.20045,2.05188,0.01663,0.74748,0.28674,0.302,0.23312,1.36125,1.94535,0.02358,0.00580209,0.00580209,0.0196625
4,192.599,1.25781,1.68068,0.01737,0.50782,0.33884,0.32749,0.26373,1.35042,1.75498,0.0239,0.00622352,0.00622352,0.00622352
5,233.222,1.24153,1.48271,0.01709,0.25197,0.20583,0.20278,0.13127,1.93447,2.39572,0.0393,0.00571136,0.00571136,0.00571136
6,273.751,1.21015,1.29112,0.01661,0.34992,0.37262,0.34059,0.28564,1.24622,1.78119,0.02212,0.0051992,0.0051992,0.0051992
7,314.534,1.17164,1.14373,0.01596,0.35089,0.37705,0.3299,0.26916,1.47177,1.89765,0.02631,0.00468704,0.00468704,0.00468704
8,355.193,0.8287,0.65501,0.01567,0.34376,0.38636,0.32843,0.27264,1.36971,1.98325,0.02412,0.00417488,0.00417488,0.00417488
9,397.942,0.76444,0.52293,0.01411,0.33474,0.38417,0.31987,0.26781,1.43453,2.02151,0.02521,0.00366272,0.00366272,0.00366272
10,440.616,0.71273,0.42486,0.01299,0.34993,0.37911,0.32396,0.28137,1.33146,2.22019,0.02323,0.00315056,0.00315056,0.00315056
11,481.506,0.67294,0.35926,0.01211,0.35561,0.38451,0.33375,0.28779,1.4188,2.16838,0.0248,0.0026384,0.0026384,0.0026384
12,521.359,0.63961,0.3381,0.0114,0.34876,0.38581,0.32479,0.27971,1.34952,2.02125,0.02361,0.00212624,0.00212624,0.00212624
13,561.16,0.59399,0.2964,0.01062,0.35587,0.37887,0.32884,0.28894,1.26463,2.11179,0.02201,0.00161408,0.00161408,0.00161408
14,601.166,0.56057,0.27427,0.00991,0.35908,0.36977,0.32483,0.28565,1.29794,2.16082,0.02266,0.00110192,0.00110192,0.00110192
15,640.822,0.54352,0.26037,0.00956,0.36646,0.37034,0.3315,0.29442,1.27444,2.16682,0.02196,0.00058976,0.00058976,0.00058976
