epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,202.139,1.07501,3.06721,0.01865,0.69012,0.61516,0.71508,0.53326,0.89455,0.92039,0.02154,0.00998214,0.00332738,0.00998214,0.00332738,0.00998214,0.00332738,0.00998214,0.00332738
2,343.894,1.09052,1.47139,0.0191,0.61372,0.7286,0.77607,0.54558,0.9836,0.92485,0.02373,0.0197843,0.00659477,0.0197843,0.00659477,0.0197843,0.00659477,0.0197843,0.00659477
3,471.257,1.19023,1.46123,0.02118,0.49793,0.39048,0.43329,0.26451,1.34764,2.15711,0.03601,0.0293885,0.00979617,0.0293885,0.00979617,0.0293885,0.00979617,0.0293885,0.00979617
4,593.802,1.22908,1.38392,0.02202,0.81853,0.75508,0.83978,0.60276,0.97894,0.66989,0.02322,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,715.965,1.1934,1.23413,0.02095,0.84649,0.86282,0.88773,0.67368,0.91128,0.49778,0.02197,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,838.014,1.15977,1.1886,0.02017,0.86013,0.86075,0.90387,0.68498,0.89804,0.48696,0.02161,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,960.212,1.12703,1.0844,0.0195,0.78337,0.85524,0.87026,0.66144,0.8513,0.54035,0.02033,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1082.3,1.10426,1.07304,0.0192,0.80471,0.7695,0.85228,0.64455,0.91754,0.60086,0.02219,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1204.06,1.0786,1.01254,0.01839,0.86806,0.8372,0.90031,0.70189,0.82424,0.47504,0.01965,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1326.22,1.07811,0.96554,0.01853,0.88832,0.89371,0.91881,0.70855,0.81877,0.41455,0.0196,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1462.43,1.04587,0.94084,0.01787,0.85971,0.87048,0.91064,0.70499,0.82761,0.41928,0.02031,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1591.25,1.02943,0.91966,0.01742,0.87774,0.90226,0.91916,0.71945,0.75966,0.40085,0.01783,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1716.87,1.02344,0.93572,0.01739,0.88654,0.84554,0.90493,0.71837,0.78556,0.43079,0.01818,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1838.65,1.01841,0.87257,0.01723,0.86354,0.89826,0.90906,0.71853,0.76136,0.40494,0.01741,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1961.43,1.00574,0.88502,0.01701,0.87065,0.91597,0.92268,0.73867,0.72819,0.38965,0.01688,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2084.26,1.0002,0.85208,0.01684,0.87927,0.90279,0.90639,0.73495,0.74307,0.34297,0.0177,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2206.39,0.99235,0.80849,0.01675,0.88492,0.92524,0.9239,0.73598,0.75858,0.36076,0.01758,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2328.17,0.98767,0.83993,0.01665,0.86306,0.91651,0.92338,0.73914,0.72539,0.35306,0.01702,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2450.21,0.96335,0.79669,0.01624,0.9131,0.91673,0.93564,0.75881,0.68545,0.33935,0.01568,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2572.38,0.96742,0.7794,0.01635,0.91649,0.92623,0.93211,0.75266,0.70081,0.30846,0.01599,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2694.58,0.9533,0.77349,0.01589,0.88804,0.93534,0.9379,0.7682,0.68326,0.33086,0.01568,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2819.02,0.95248,0.78223,0.01581,0.90955,0.91797,0.93551,0.7644,0.68503,0.32321,0.01576,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2942.96,0.93851,0.75378,0.01556,0.92109,0.91134,0.93759,0.76395,0.67375,0.30978,0.01528,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3065.62,0.92187,0.72372,0.0153,0.92812,0.94003,0.95301,0.77387,0.67443,0.29558,0.01527,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3187.88,0.93006,0.7509,0.01539,0.92188,0.92144,0.93147,0.77364,0.67574,0.29275,0.01574,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3322.97,0.91247,0.71992,0.01524,0.92791,0.91983,0.94479,0.77957,0.6451,0.30115,0.01468,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3452.96,0.9117,0.73291,0.01507,0.94326,0.91035,0.94785,0.77401,0.65328,0.30364,0.01474,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3589.41,0.91814,0.69644,0.01522,0.91578,0.94054,0.9439,0.78123,0.6251,0.28596,0.01412,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
