epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.594,1.34683,4.70981,0.02233,0.71398,0.74072,0.76629,0.48012,1.19713,0.80788,0.02482,0.000266698,0.000266698,0.000266698
2,227.434,1.42785,1.76841,0.0242,0.62512,0.65681,0.67051,0.32136,1.80702,1.07891,0.04245,0.000520793,0.000520793,0.000520793
3,324.552,1.4325,1.63069,0.02408,0.6415,0.59763,0.63378,0.31307,1.80308,1.13845,0.04335,0.000761796,0.000761796,0.000761796
4,420.068,1.42833,1.49308,0.02387,0.78073,0.63633,0.75022,0.42398,1.61548,1.07995,0.03899,0.000926496,0.000926496,0.000926496
5,515.262,1.38121,1.39469,0.02274,0.80377,0.82376,0.87852,0.59122,1.19948,0.62649,0.02595,0.000901994,0.000901994,0.000901994
6,610.92,1.33833,1.32815,0.02218,0.84245,0.86743,0.90301,0.59981,1.17778,0.61934,0.02505,0.000877493,0.000877493,0.000877493
7,706.477,1.29891,1.27534,0.02122,0.87086,0.80966,0.88316,0.61517,1.03395,0.55682,0.02105,0.000852991,0.000852991,0.000852991
8,802.06,1.26518,1.23197,0.02038,0.87731,0.89927,0.91478,0.65994,1.00059,0.47511,0.02009,0.00082849,0.00082849,0.00082849
9,897.582,1.22261,1.18651,0.0198,0.75124,0.80464,0.87124,0.66359,0.87615,0.65057,0.01749,0.000803988,0.000803988,0.000803988
10,993.085,1.19434,1.14429,0.01921,0.86487,0.89864,0.91304,0.69656,0.85438,0.45473,0.01725,0.000779486,0.000779486,0.000779486
11,1088.69,1.17903,1.10377,0.01892,0.91136,0.90921,0.93225,0.67312,0.95899,0.41871,0.01942,0.000754985,0.000754985,0.000754985
12,1184.1,1.15782,1.07497,0.01848,0.84911,0.91557,0.92901,0.7078,0.85383,0.41773,0.01701,0.000730483,0.000730483,0.000730483
13,1279.52,1.1456,1.06609,0.01839,0.88695,0.90307,0.92078,0.71148,0.88889,0.40966,0.01809,0.000705982,0.000705982,0.000705982
14,1375.04,1.12254,1.02234,0.01789,0.77833,0.79094,0.88498,0.6818,0.83312,0.55769,0.01656,0.000681481,0.000681481,0.000681481
15,1470.11,1.08919,0.99354,0.01726,0.86092,0.91258,0.9191,0.69653,0.84597,0.3886,0.01683,0.000656979,0.000656979,0.000656979
